ID,Name,Country,Latitude,Longitude
BEXX0014,Mons,Belgique,50.45,3.93
BEXX0019,Sint-Niklaas,Belgique,51.17,4.13
BEXX0021,Koksijde,Belgique,51.08,2.65
BEXX0026,Beauvechain,Belgique,50.75,4.77
BUXX0002,Pernik,Bulgarie,42.6,23.03
BUXX0007,Varna,Bulgarie,43.22,27.92
BUXX0014,Botev-Vrah-Top-Sommet,Bulgarie,42.67,24.83
BUXX0001,Burgas,Bulgarie,42.5,27.47
BUXX0006,Stara-Zagora,Bulgarie,42.42,25.63
BUXX0013,Mussala-Top-Sommet,Bulgarie,42.18,23.58
BUXX0005,Sofia,Bulgarie,42.68,23.32
BUXX0012,Razgrad,Bulgarie,43.52,26.53
BUXX0004,Plovdiv,Bulgarie,42.15,24.75
BUXX0009,Vidin,Bulgarie,43.82,22.88
BUXX0011,Rousse,Bulgarie,43.85,25.95
BUXX0016,Kurdjali,Bulgarie,41.65,25.37
BUXX0003,Pleven,Bulgarie,43.42,24.62
BUXX0008,Vraca,Bulgarie,43.2,23.55
BUXX0010,Lovetch,Bulgarie,43.13,24.72
BUXX0015,Sandanski,Bulgarie,41.52,23.27
HRXX0005,Zagreb,Croatie,45.73,16.07
HRXX0001,Dubrovnik,Croatie,42.55,18.09
HRXX0006,Rijeka,Croatie,45.34,14.41
HRXX0002,Karlovac,Croatie,45.49,15.55
HRXX0007,Pula,Croatie,44.87,13.85
HRXX0003,Osijek,Croatie,45.55,18.7
HRXX0004,Split,Croatie,43.52,16.43
CYXX0005,Nicosia,Cyprus,34.88,33.63
CYXX0004,Limassol,Cyprus,34.67,33.03
CYXX0009,Polis,Cyprus,35.0,32.37
CYXX0011,Troodos,Cyprus,34.93,32.87
CYXX0003,Larnaca,Cyprus,34.88,33.63
CYXX0008,Ckormakitis,Cyprus,35.35,32.95
CYXX0010,Rizokarpason,Cyprus,35.58,34.4
CYXX0002,Ktima,Cyprus,34.77,32.42
CYXX0007,Akrotiri,Cyprus,34.58,32.98
CYXX0001,Famagusta,Cyprus,35.12,33.95
CYXX0006,Paphos,Cyprus,34.75,32.4
EZXX0002,Brno,Republique-Tcheque,49.15,16.7
EZXX0007,Kolin,Republique-Tcheque,50.03,15.22
EZXX0014,Slavkov-U-Brna,Republique-Tcheque,49.15,16.87
EZXX0019,Churanov,Republique-Tcheque,49.07,13.62
EZXX0021,Kocelovice,Republique-Tcheque,49.47,13.83
EZXX0026,Usti-Nad-Orlici,Republique-Tcheque,49.98,16.43
EZXX0003,Cesky-Tesin,Republique-Tcheque,49.75,18.62
EZXX0008,Opava,Republique-Tcheque,49.95,17.92
EZXX0010,Plzen,Republique-Tcheque,49.75,13.4
EZXX0015,Tabor,Republique-Tcheque,49.42,14.68
EZXX0022,Praha-Libus,Republique-Tcheque,50.02,14.45
EZXX0027,Cervena,Republique-Tcheque,49.77,17.55
EZXX0004,Frydek,Republique-Tcheque,49.68,18.35
EZXX0009,Ostrava,Republique-Tcheque,49.68,18.12
EZXX0011,Pisek,Republique-Tcheque,49.32,14.17
EZXX0016,Usti-Nad-Labem,Republique-Tcheque,50.67,14.03
EZXX0023,Liberec,Republique-Tcheque,50.77,15.02
EZXX0028,Holesov,Republique-Tcheque,49.32,17.57
EZXX0030,Budweis,Republique-Tcheque,48.98,14.48
EZXX0005,Karvina,Republique-Tcheque,49.87,18.55
EZXX0012,Prague,Republique-Tcheque,50.1,14.28
EZXX0017,Cheb,Republique-Tcheque,50.08,12.4
EZXX0024,Kostelni-Myslova,Republique-Tcheque,49.18,15.47
EZXX0029,Lysa-Hora,Republique-Tcheque,49.55,18.45
EZXX0001,Beroun,Republique-Tcheque,49.97,14.07
EZXX0006,Kladno,Republique-Tcheque,50.15,14.12
EZXX0013,Rosice,Republique-Tcheque,49.18,16.38
EZXX0018,Primda,Republique-Tcheque,49.67,12.67
EZXX0020,Milesovka,Republique-Tcheque,50.55,13.93
EZXX0025,Pribyslav,Republique-Tcheque,49.58,15.77
DAXX0002,Alborg,Danemark,57.1,9.87
DAXX0007,Bramming,Danemark,55.47,8.7
DAXX0014,Grimstrup,Danemark,55.52,8.67
DAXX0019,Holstebro,Danemark,56.35,8.63
DAXX0021,Karup,Danemark,56.28,9.13
DAXX0026,Randers,Danemark,56.47,10.05
DAXX0033,Sonderborg,Danemark,54.97,9.8
DAXX0038,Varde,Danemark,55.63,8.48
DAXX0040,Viborg,Danemark,56.43,9.4
DAXX0045,Sindal-Flyveplads,Danemark,57.5,10.22
DAXX0001,Abenra,Danemark,55.03,9.43
DAXX0006,Birkerod,Danemark,55.83,12.43
DAXX0013,Frostrup,Danemark,57.08,8.98
DAXX0018,Hillerod,Danemark,55.93,12.32
DAXX0020,Horsholm,Danemark,55.88,12.5
DAXX0025,Osterild,Danemark,57.03,8.85
DAXX0032,Skrydstrup,Danemark,55.23,9.27
DAXX0037,Torning,Danemark,56.28,9.33
DAXX0044,Verstervig,Danemark,56.7,8.22
DAXX0005,Billund,Danemark,55.73,9.15
DAXX0012,Frederikshavn,Danemark,57.43,10.53
DAXX0017,Herning,Danemark,56.13,8.98
DAXX0024,Odense,Danemark,55.4,10.38
DAXX0029,Roskilde,Danemark,55.65,12.08
DAXX0031,Sjorring,Danemark,56.95,8.6
DAXX0036,Thisted,Danemark,57.07,8.7
DAXX0043,Ornslund,Danemark,55.7,10.6
DAXX0004,Augustenborg,Danemark,54.95,9.88
DAXX0009,Copenhague,Danemark,55.63,12.67
DAXX0011,Filskov,Danemark,55.8,9.03
DAXX0016,Helsingor,Danemark,56.03,12.62
DAXX0023,Norup,Danemark,55.72,9.32
DAXX0028,Ronne,Danemark,55.07,14.75
DAXX0030,Sandvig,Danemark,55.28,14.78
DAXX0035,Tastrup,Danemark,55.65,12.32
DAXX0042,Hammer-Odde,Danemark,55.3,14.78
DAXX0047,Soro-Syd,Danemark,55.43,11.57
DAXX0003,Arhus,Danemark,56.15,10.22
DAXX0008,Brande,Danemark,55.95,9.12
DAXX0010,Esbjerg,Danemark,55.52,8.55
DAXX0015,Hasle,Danemark,55.18,14.72
DAXX0022,Koge,Danemark,55.45,12.18
DAXX0027,Ribe,Danemark,55.35,8.77
DAXX0034,Spang,Danemark,54.93,9.83
DAXX0039,Veslos,Danemark,57.02,8.97
DAXX0041,Thorshavn,Danemark,62.02,-6.77
DAXX0046,Skagen,Danemark,57.73,10.63
SPXX0101,Durango,Espagne,43.17,-2.62
SPXX0106,Laguardia,Espagne,42.55,-2.58
SPXX0113,Navacerrada,Espagne,40.73,-4.0
SPXX0118,Reus,Espagne,41.15,1.12
SPXX0120,Riaza,Espagne,41.28,-3.47
SPXX0137,Blanes,Espagne,41.68,2.79
SPXX0175,Lleida,Espagne,41.6,0.62
SPXX0182,Salas-De-Los-Infantes,Espagne,42.02,-3.28
SPXX0187,Urbion-Ventrosa,Espagne,42.15,-2.85
SPXX0194,Logrono-Agoncillo,Espagne,42.45,-2.33
